[2025-05-13 09:07:12] State: uit, Confidence: 99.61%
[2025-05-13 09:07:14] State: uit, Confidence: 99.22%
[2025-05-13 09:07:17] State: uit, Confidence: 99.61%
[2025-05-13 09:07:19] State: normaal, Confidence: 99.61%
[2025-05-13 09:07:22] State: normaal, Confidence: 73.44%
[2025-05-13 09:07:24] State: abnormaal, Confidence: 99.61%
[2025-05-13 09:07:27] State: uit, Confidence: 99.61%
[2025-05-14 12:12:37] State: uit, Confidence: 99.61%
[2025-05-14 12:12:40] State: uit, Confidence: 99.61%
[2025-05-14 12:12:42] State: uit, Confidence: 99.61%
[2025-05-14 12:12:45] State: uit, Confidence: 99.61%
[2025-05-14 12:12:47] State: uit, Confidence: 99.61%
[2025-05-14 12:12:50] State: uit, Confidence: 99.61%
[2025-05-14 12:12:52] State: uit, Confidence: 99.61%
[2025-05-14 12:12:55] State: uit, Confidence: 99.61%
[2025-05-14 12:12:57] State: uit, Confidence: 98.83%
[2025-05-14 12:13:00] State: normaal, Confidence: 99.61%
[2025-05-14 12:13:03] State: normaal, Confidence: 98.44%
[2025-05-14 12:13:05] State: normaal, Confidence: 99.61%
[2025-05-14 12:13:08] State: abnormaal, Confidence: 63.67%
[2025-05-14 12:13:10] State: abnormaal, Confidence: 99.61%
[2025-05-14 12:13:13] State: abnormaal, Confidence: 99.61%
[2025-05-14 12:13:15] State: abnormaal, Confidence: 81.64%
[2025-05-14 12:13:18] State: normaal, Confidence: 99.61%
[2025-05-14 12:13:20] State: normaal, Confidence: 99.61%
[2025-05-14 12:23:12] State: uit, Confidence: 99.61%
[2025-05-14 12:23:15] State: uit, Confidence: 99.61%
[2025-05-14 12:23:17] State: uit, Confidence: 99.61%
[2025-05-14 12:23:20] State: uit, Confidence: 99.61%
[2025-05-14 12:23:22] State: uit, Confidence: 99.61%
[2025-05-14 12:23:25] State: uit, Confidence: 99.61%
[2025-05-14 12:23:28] State: uit, Confidence: 99.61%
[2025-05-14 12:23:30] State: uit, Confidence: 99.61%
[2025-05-14 12:23:33] State: uit, Confidence: 99.61%
[2025-05-14 12:23:35] State: uit, Confidence: 98.44%
[2025-05-14 12:23:38] State: uit, Confidence: 99.61%
